,product_title,lowest_price,montly_sales,original_price,discount_rate,star,ratings,total_sales,favorites,brand,weight,warranty,capacity,stock,power
0,CANEL&CO Multifunction Rice Cooker Elektrik periuk nasi Penanak Nasi Electric Cooker Multi,68.9,149,150.0,54,4.9,2200.0,3600.0,2900,Canel & Co,0.0,1,0.0,1147,0
1,Gaabor Frying And Hot Pot Steamboat And Grill GH-M13A Multifunction Cooker BBQ Grill Pan Home Kitchen Appliances,89.0,74,159.0,44,4.9,166.0,360.0,626,Gaabor,1850.0,24,1.0,133,1300
2,🇲🇾Premium+ Non Stick Rice Cooker 2.5L / 1.2L with Steamer 400W / 200W Periuk Nasi 電飯鍋,43.5,263,0.0,62,4.8,1900.0,3400.0,2800,Others,0.0,0,0.0,291,0
3,Gaabor Electric Rice Cooker GR-S30A/S30B Multifunction Cooker Steamer Kitchen Home Appliances 电饭煲,89.0,162,0.0,36,4.9,400.0,697.0,1200,Gaabor,2000.0,3,1.2,360,500
4,1.8L Multifunctional Non Stick Electric Pot /Mini Rice Cooker With Steamer Frying Pan Electric Cooker Cooking Pot,26.3,298,89.0,70,4.8,1900.0,3700.0,2100,Others,0.0,0,0.0,422,0
5,READY STOCK UDC 😍  3 Pin Plug Lopol Electric Non Stick Ceramic Frying Pan Rice Portable Mini Rice Cooker Periuk Nasi,19.88,1400,0.0,4,4.9,20300.0,37500.0,2200,Others,0.0,0,0.0,5061,0
6,CURO 3 Pin Plug Lopol Electric Non Stick Ceramic Frying Pan Rice Multi Mini Rice Cooker Periuk Nasi,19.53,884,49.34,60,4.9,11200.0,20600.0,500,Others,0.0,0,0.0,3221,0
7,REDBUZZ 1.8L Non Stick Electric Pot /Mini Rice Cooker With Steamer Frying Pan Electric Cooker Cooking Pot Periuk Nasi,19.98,869,99.9,80,4.8,8300.0,15700.0,7300,Others,750.0,24,0.0,1180,600
8,DESSINI ITALY 10IN1 Electric Digital Pressure Cooker Non-stick Stainless Steel Inner Pot Rice Cooker Steamer (6L),126.0,672,318.0,60,4.8,5500.0,9900.0,4800,Others,0.0,0,0.0,0,0
9,Storage Rack Kitchen Rack Multi-layer kitchen Storage Rack Multipurpose Microwave Oven Rack Rice Cooker Rack Desktop Oven Seasoning Rack Kitchen Organizer Kitchen Supplies Microwave Shelf,23.89,587,0.0,60,4.9,7500.0,13400.0,600,Others,0.0,0,0.0,0,0
