,star,ratings(amount),total_sales,favorites,brand,weight,warranty,capacity,stock,power
0,4.9,2.2k,3.6k,Favorite (2.9k),Canel & Co,,1 Month,,1147,
1,4.9,166,360,Favorite (626),Gaabor,1850g,24 Months,1L,133,1300W
2,4.8,1.9k,3.4k,Favorite (2.8k),,,,,291,
3,4.9,400,697,Favorite (1.2k),Gaabor,2kg,3 Years,1.2L,360,500W
4,4.8,1.9k,3.7k,Favorite (2.1k),,,,,422,
5,4.9,20.3k,37.5k,Favorite (22k),,,,,5061,
6,4.9,11.2k,20.6k,Favorite (5k),,,,,3221,
7,4.8,8.3k,15.7k,Favorite (7.3k),,750g,24 Months,,1180,600W
8,4.8,5.5k,9.9k,Favorite (4.8k),,,,,,
9,4.9,7.5k,13.4k,Favorite (6k),,,,,,
10,4.6,19.9k,41.1k,Favorite (17.2k),,,,,185,
11,4.9,4.4k,11.4k,Favorite (2.4k),Midea,,,,8665,
12,4.8,10.8k,22.4k,Favorite (14.2k),,,,,657,
13,4.9,7.7k,12.2k,Favorite (8.1k),Kelen Munoz MMX,,1 Year,,860,
14,4.9,2.7k,4.7k,Favorite (4k),,,,,835,
15,4.8,1.9k,3.7k,Favorite (2.1k),,,,,422,
16,4.9,15.5k,28k,Favorite (21.9k),,,,,24440,
17,4.9,6.3k,10.7k,Favorite (12.9k),Giselle,1.38kg,12 Months,1.2L,1347,200W
18,4.9,1.2k,2k,Favorite (684),Haier,,12 Months,,202,
19,4.9,1.9k,7.3k,Favorite (793),,,,,1954,
20,5.0,1.5k,2.5k,Favorite (925),Midea,,12 Months,,331,
21,4.8,5k,9.8k,Favorite (6.4k),,,,,367,
22,4.9,1.1k,2k,Favorite (1.2k),Canel & Co,,,,35,
23,4.9,8.3k,15.5k,Favorite (5.1k),,,,,,
24,4.9,4.3k,8.2k,Favorite (2.9k),,,,,1564,
25,4.9,189,406,Favorite (243),,,,,1180,
26,4.9,1.6k,2.8k,Favorite (1.5k),,1.2kg,12 Months,1.2L,719,200W
27,4.9,4.7k,8.3k,Favorite (3.4k),Faber,,12 Months,1L,100,
28,4.8,3.7k,7.2k,Favorite (4.2k),,,,,,
29,4.9,2.2k,3.6k,Favorite (2.9k),Canel & Co,,1 Month,,1146,
30,4.8,1k,1.9k,Favorite (743),,,,,1098,
31,4.9,1.9k,3.3k,Favorite (3.2k),,,,,849,
32,4.8,5.4k,8.2k,Favorite (4.1k),Russell Taylors,,24 Months,1.8L,1963,600W
33,4.9,790,1.5k,Favorite (512),,,No Warranty,,1943,
34,4.9,108,778,Favorite (41),,,,,1773,
35,4.9,3.8k,7.3k,Favorite (3.2k),,,,,57,
36,4.9,805,1.5k,Favorite (1.1k),,1.5kg,3 Months,1.2L,,200W
37,4.9,812,1.4k,Favorite (751),Panasonic,,,,883,
38,4.8,1.1k,2.8k,Favorite (834),,,,,3551,
39,4.9,489,817,Favorite (867),Primada,,24 Months,,172,
40,4.9,118,201,Favorite (404),Gaabor,,,,,
41,4.9,212,358,Favorite (174),Primada,,,,390,
42,4.9,2.2k,3.7k,Favorite (3k),,,,,119,
43,4.6,19.9k,41.1k,Favorite (17.2k),,,,,185,
44,5.0,501,1k,Favorite (1.2k),Xiaomi,4.4kg,3 Months,3L,435,650W
45,4.7,812,1.7k,Favorite (1.5k),,,,,96,
46,4.8,42,71,Favorite (41),Haier,,,,3,
